id,none_prefecture,default,kana,alphabet
0,北海道,北海道,ほっかいどう,hokkaido
1,青森,青森県,あおもり,aomori
2,岩手,岩手県,いわて,iwate
3,宮城,宮城県,みやぎ,miyagi
4,秋田,秋田県,あきた,akita
5,山形,山形県,やまがた,yamagata
6,福島,福島県,ふくしま,fukushima
7,茨城,茨城県,いばらき,ibaraki
8,栃木,栃木県,とちぎ,tochigi
9,群馬,群馬県,ぐんま,gunma
10,埼玉,埼玉県,さいたま,saitama
11,千葉,千葉県,ちば,chiba
12,東京,東京都,とうきょう,tokyo
13,神奈川,神奈川県,かながわ,kanagawa
14,新潟,新潟県,にいがた,niigata
15,富山,富山県,とやま,toyama
16,石川,石川県,いしかわ,ishikawa
17,福井,福井県,ふくい,fukui
18,山梨,山梨県,やまなし,yamanashi
19,長野,長野県,ながの,nagano
20,岐阜,岐阜県,ぎふ,gifu
21,静岡,静岡県,しずおか,shizuoka
22,愛知,愛知県,あいち,aichi
23,三重,三重県,みえ,mie
24,滋賀,滋賀県,しが,shiga
25,京都,京都府,きょうと,kyoto
26,大阪,大阪府,おおさか,osaka
27,兵庫,兵庫県,ひょうご,hyogo
28,奈良,奈良県,なら,nara
29,和歌山,和歌山県,わやかま,wakayama
30,鳥取,鳥取県,とっとり,tottori
31,島根,島根県,しまね,shimane
32,岡山,岡山県,おかやま,okayama
33,広島,広島県,ひろしま,hiroshima
34,山口,山口県,やまぐち,yamaguchi
35,徳島,徳島県,とくしま,tokushima
36,香川,香川県,かがわ,kagawa
37,愛媛,愛媛県,えひめ,ehime
38,高知,高知県,こうち,kochi
39,福岡,福岡県,ふくおか,fukuoka
40,佐賀,佐賀県,さが,saga
41,長崎,長崎県,ながさき,nagasaki
42,熊本,熊本県,くまもと,kumamoto
43,大分,大分県,おおいた,oita
44,宮崎,宮崎県,みやざき,miyazaki
45,鹿児島,鹿児島県,かごしま,kagoshima
46,沖縄,沖縄県,おきなわ,okinawa
